filename,LOC,Cyclomatic Complexity,Halstead Volume,Maintainability Index
s997088185.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s997655254.py,7,0,15.51,72.82
s997988843.py,7,0,15.51,74.29
s998630458.py,7,0,15.51,72.82
s999951009.py,10,0,4.75,72.91
s006645469.py,4,0,4.75,79.61
s071776650.py,11,0,25.27,68.69
s085864513.py,9,0,4.75,75.02
s116762267.py,4,0,10.0,77.35
s505486004.py,8,0,36.0,68.73
s541731237.py,7,0,15.51,69.31
s608838695.py,6,0,25.27,72.67
s708103246.py,7,0,36.0,68.73
s860912947.py,15,0,55.51,61.84
s882925840.py,14,0,39.86,63.12
s013300062.py,14,0,69.76,64.74
s096048309.py,7,0,39.86,71.41
s481380826.py,7,0,39.86,69.95
s506877299.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s530686748.py,8,0,39.86,93.3
s561025503.py,4,0,28.53,79.0
s587727287.py,6,0,68.53,69.77
s666005500.py,10,0,51.89,65.64
s689013232.py,7,0,39.86,71.41
s764158731.py,12,0,159.91,61.54
s044588462.py,5,0,77.71,71.38
s097035551.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s184751700.py,4,0,20.9,100.0
s348196604.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s388797281.py,5,0,20.9,75.37
s428316024.py,2,0,33.69,82.6
s467650126.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s507883283.py,2,0,20.9,80.21
s672293141.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s704308845.py,5,0,75.28,100.0
s262396358.py,3,0,31.02,79.01
s301962781.py,8,0,31.02,74.17
s349012706.py,5,0,31.02,74.17
s427375336.py,4,0,31.02,76.29
s501232072.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s516128771.py,8,0,31.02,74.17
s733437991.py,4,0,33.69,76.04
s789703302.py,4,0,49.83,74.85
s815513283.py,2,0,33.69,78.76
s976254415.py,3,0,47.55,77.71
s027399995.py,17,0,114.22,57.67
